alias,type,target_type,guidance,min_range_nm,max_range_nm,max_velocity_kt,warhead,power,impact_size,penetration,mass_kg,ammo_points
wp_cal_57mm,Projectile,AAW,,,,,,1.5,VerySmall,Minor,6.4,6.4
wp_cal_57mm_zsu,Projectile,AAW,,,,,,1.5,VerySmall,Minor,6.4,6.4
wp_cal_76mm,Projectile,AAW,,,,,,2.4,Small,Minor,12.4,12.4
wp_cal_76mm_d56,Projectile,ASuW,,,,,HEAT,2.4,Small,Moderate,9,9
wp_dc_shell,RBU,ASW,None,0.05,0.35,100,BlastFrag,57,Medium,Moderate,165,165
wp_dc_shell_helicopter,RBU,ASW,None,0.05,0.35,10,BlastFrag,57,Medium,Moderate,165,165
wp_fab-100,Bomb,ASuW,None,0.01,10.0,,BlastFrag,20,SemiSmall,Minor,103,103
wp_fab-1500_m54,Bomb,ASuW,None,0.01,10.0,,BlastFrag,78,VeryLarge,Heavy,1500,1500
wp_fab-250,Bomb,ASuW,None,0.01,10.0,,BlastFrag,30,Medium,Moderate,227,227
wp_fab-3000_m54,Bomb,ASuW,None,0.01,10.0,,BlastFrag,103,80,Heavy,3000,3000
wp_fab-500,Bomb,ASuW,None,0.01,10.0,,BlastFrag,43,Large,Heavy,500,500
wp_fab-500_m54,Bomb,ASuW,None,0.01,10.0,,BlastFrag,43,Large,Heavy,500,500
wp_fab-9000_m54,Bomb,ASuW,None,0.01,10.0,,BlastFrag,196,120,Heavy,9000,9000
wp_grad,MLRS,ASuW,None,1,21,1341,HEAT,13,Small,Always,67,83.75
wp_kab-500l,Bomb,ASuW,Laser,1,10,,BlastFrag,45,Large,Always,500,750
wp_mg-44,MOSS,ASW,None,0.1,8,20.0,,,,,497,994
wp_mg-74,MOSS,ASW,None,0.1,8,22.0,,,,,497,994
wp_noisemaker,Noisemaker,ASW,,,,,,,,,16,16
wp_pilot_a,Paratrooper,,None,,,,,,,,,
wp_pilot_d,Paratrooper,,None,,,,,,,,,
wp_pilot_k1m_a,Paratrooper,,None,,,,,,,,,
wp_pilot_k1m_d,Paratrooper,,None,,,,,,,,,
wp_plab-100,AirDepthCharge,ASW,None,0.01,10.0,,BlastFrag,30,Medium,Always,100,100
wp_rbk-250,Bomb,ASuW,None,0.01,10.0,,Cluster,16,75,Minor,273,341.25
wp_rbk-500,Bomb,ASuW,None,0.01,10.0,,Cluster,20,150,Minor,500,750
wp_rgb-1,Sonobuoy,ASW,None,0,100.0,,,,,,14,17.5
wp_rgb-10,RBU,ASW,None,0.054,0.54,680,BlastFrag,30,VeryLarge,Moderate,195,243.75
wp_rgb-12,RBU,ASW,None,0.215,0.65,680,BlastFrag,17,VeryLarge,Minor,73,243.75
wp_rgb-25,RBU,ASW,None,0.27,1.35,777,BlastFrag,15,VeryLarge,Minor,84,105
wp_rgb-3,Sonobuoy,ASW,None,0,100.0,,,,,,18.5,23.125
wp_rgb-60,RBU,ASW,None,0.19,3.0,583,BlastFrag,14,VeryLarge,Minor,113,141.25
wp_rgb-nm1,Sonobuoy,ASW,None,0,100.0,,,,,,13,16.25
wp_s-24,AerialRocket,ASuW,None,0.2,1.1,802,BlastFrag,33,SemiSmall,Heavy,235,293
wp_s-25,AerialRocket,ASuW,None,0.33,1.6,1070,BlastFrag,42,SemiSmall,Heavy,370,462.5
wp_s-5,AerialRocket,ASuW,None,0.15,1,1409,HEAT,3,Small,Minor,3.86,4.825
wp_s-8,AerialRocket,ASuW,None,0.2,2.2,1360,HEAT,6,SemiSmall,Minor,11.2,14
wp_sa-11,Missile,AAW,SemiActiveRadar,0.5,19,2100.0,BlastFrag,25,SemiSmall,Always,690,1725
wp_sa-13,Missile,AAW,IR,0.25,2.7,1069,BlastFrag,7,VeryLarge,Always,40,60
wp_sa-2,Missile,AAW,None,3.7,27.0,2460.0,BlastFrag,25,SemiSmall,Heavy,2400,7200
wp_sa-3,Missile,AAW,None,2.0,16.0,2000.0,BlastFrag,25,SemiSmall,Heavy,950,2375
wp_sa-4,Missile,AAW,None,2.0,30.0,2645.0,BlastFrag,12,SemiSmall,Heavy,2450,7350
wp_sa-5,Missile,AAW,SemiActiveRadar,10.0,140.0,4300.0,BlastFrag,44,Medium,Heavy,7000,21000
wp_sa-6,Missile,AAW,None,1.5,13,2000.0,BlastFrag,12,SemiSmall,Heavy,600,1500
wp_sa-8,Missile,AAW,None,0.8,5.56,1650.0,BlastFrag,13,VerySmall,Moderate,125,250
wp_sa-n-1,Missile,AAW,None,2.0,14,2000.0,BlastFrag,25,SemiSmall,Heavy,950,2375
wp_sa-n-1c,Missile,AAW,None,2.0,14.0,2000.0,BlastFrag,25,SemiSmall,Heavy,950,2375
wp_sa-n-3,Missile,AAW,None,2,29.7,1800.0,BlastFrag,33,Medium,Always,1850,5550
wp_sa-n-4,Missile,AAW,None,0.2,5.4,1650.0,BlastFrag,13,VerySmall,Moderate,125,250
wp_sa-n-5,Missile,AAW,IR,0.1,2.25,970,BlastFrag,3,Tiny,Minor,15,22.5
wp_sa-n-6,Missile,AAW,SemiActiveRadar,2.0,50.0,3700.0,BlastFrag,34,SemiSmall,Moderate,1650,4950
wp_sa-n-7,Missile,AAW,SemiActiveRadar,0.5,16.2,2100.0,BlastFrag,25,SemiSmall,Always,690,1725
wp_sa-n-9,Missile,AAW,None,0.5,8.0,2150.0,BlastFrag,12,VerySmall,Always,167,334
wp_set-40,Torpedo,ASW,,0.5,4.0,29.0,BlastFrag,36,Medium,Heavy,550,1100
wp_set-65,Torpedo,ASW,ActiveSonar,0.5,8.7,40.0,BlastFrag,62,Medium,Always,1740,5220
wp_ss-n-12,Missile,ASuW,ActiveRadar,30,300.0,1300,BlastFrag,95,VeryLarge,Always,4800,7740
wp_ss-n-14a,Missile,ASW,None,3.2,27.0,564.8,BlastFrag,,Small,Moderate,3930,11790
wp_ss-n-14b,Missile,ASuW,IR,3.2,27.0,564.8,BlastFrag,41,Large,Always,4000,12000
wp_ss-n-16,ASROC,ASW,None,1.2,27.0,600.0,,,,,2150,6450
wp_ss-n-19,Missile,ASuW,ActiveRadar,30,270.0,970,BlastFrag,82,VeryLarge,Always,7000,21000
wp_ss-n-2,Missile,ASuW,ActiveRadar,4.3,25,622,BlastFrag,66,Large,Always,2125,6375
wp_ss-n-22,Missile,ASuW,ActiveRadar,3,50,1555,BlastFrag,52,Large,Always,4100,12300
wp_ss-n-2c,Missile,ASuW,IR,4.3,50,622,BlastFrag,68,Large,Always,2580,7740
wp_ss-n-3,Missile,ASuW,ActiveRadar,23.5,243.0,780.0,BlastFrag,95,VeryLarge,Always,4500,13500
wp_ss-n-3b,Missile,ASuW,ActiveRadar,23.5,248,780.0,BlastFrag,95,VeryLarge,Always,4400,15000
wp_ss-n-7,Missile,ASuW,ActiveRadar,3.5,39.0,630.0,BlastFrag,95,VeryLarge,Always,2900,8700
wp_ss-n-9,Missile,ASuW,ActiveRadar,3.5,80,615,BlastFrag,85,VeryLarge,Always,3180,9540
wp_test-71,Torpedo,ASW,,0.5,,,BlastFrag,57,Large,Always,1750,5250
wp_test-71m,Torpedo,ASW,,0.5,,,BlastFrag,57,Large,Always,1750,5250
wp_umgt-1,Torpedo,ASW,ActiveSonar,0.5,4.3,41.0,BlastFrag,31,Medium,Always,720,1440
wp_uset-80,Torpedo,ASW,,0.5,,,BlastFrag,69,Large,Always,2100,6300
