alias,category,variant,nation,service_date,hullnumber
wp_sa-8_launcher,land_units,Variant3,Poland,,
wp_sa-8_launcher,land_units,Variant4,Syria,,
wp_sam_site_sa-10,land_units,Default,Soviet,,
wp_sam_site_sa-10,land_units,Variant1,Soviet,,
wp_sam_site_sa-11,land_units,Default,Soviet,,
wp_sam_site_sa-11,land_units,Variant1,Soviet,,
wp_sam_site_sa-11,land_units,Variant2,Soviet,,
wp_sam_site_sa-11,land_units,Variant3,Soviet,,
wp_sam_site_sa-11_small,land_units,Default,Soviet,,
wp_sam_site_sa-11_small,land_units,Variant1,Soviet,,
wp_sam_site_sa-11_small,land_units,Variant2,Soviet,,
wp_sam_site_sa-11_small,land_units,Variant3,Soviet,,
wp_sam_site_sa-2,land_units,Default,Soviet,,
wp_sam_site_sa-2,land_units,Variant1,Soviet,,
wp_sam_site_sa-2,land_units,Variant2,India,,
wp_sam_site_sa-2,land_units,Variant3,Poland,,
wp_sam_site_sa-2,land_units,Variant4,Syria,,
wp_sam_site_sa-2_modernized,land_units,Default,Soviet,,
wp_sam_site_sa-2_modernized,land_units,Variant1,Soviet,,
wp_sam_site_sa-2_modernized,land_units,Variant2,India,,
wp_sam_site_sa-2_modernized,land_units,Variant3,Poland,,
wp_sam_site_sa-2_modernized,land_units,Variant4,Syria,,
wp_sam_site_sa-3,land_units,Default,Soviet,,
wp_sam_site_sa-3,land_units,Variant1,Soviet,,
wp_sam_site_sa-3,land_units,Variant2,DDR,,
wp_sam_site_sa-3,land_units,Variant3,Czech,,
wp_sam_site_sa-3,land_units,Variant4,Poland,,
wp_sam_site_sa-3,land_units,Variant5,Vietnam,,
wp_sam_site_sa-3,land_units,Variant6,India,,
wp_sam_site_sa-3,land_units,Variant7,Iraq,,
wp_sam_site_sa-3,land_units,Variant8,Egypt,,
wp_sam_site_sa-3,land_units,Variant9,Syria,,
wp_sam_site_sa-5,land_units,Default,Soviet,,
wp_sam_site_sa-5,land_units,Variant1,Soviet,,
wp_silkworm_launcher,land_units,Default,China,,
wp_silkworm_launcher,land_units,Variant1,China,,
wp_silkworm_launcher,land_units,Variant2,Iran,,
wp_son-9,land_units,Default,Vietnam,,
wp_son-9,land_units,Variant1,Vietnam,,
wp_son-9,land_units,Variant2,Soviet,,
wp_spa_2s3,land_units,Default,Soviet,,
wp_spa_2s3,land_units,Variant1,Soviet,,
wp_spa_2s3,land_units,Variant2,DDR,,
wp_spa_2s3,land_units,Variant3,Iraq,,
wp_spa_2s3,land_units,Variant4,Hungary,,
wp_zsu-57,land_units,Default,Soviet,,
wp_zsu-57,land_units,Variant1,Soviet,,
wp_zsu-57,land_units,Variant2,Cuba,,
wp_zsu-57,land_units,Variant3,DDR,,
wp_zsu-57,land_units,Variant4,Egypt,,
wp_zsu-57,land_units,Variant5,Finland,,
wp_zsu-57,land_units,Variant6,Hungary,,
wp_zsu-57,land_units,Variant7,Iran,,
wp_zsu-57,land_units,Variant8,Iraq,,
wp_zsu-57,land_units,Variant9,North_Korea,,
wp_zsu-57,land_units,Variant10,Poland,,
wp_zsu-57,land_units,Variant11,Romania,,
wp_zsu-57,land_units,Variant12,Syria,,
wp_zsu-57,land_units,Variant13,Vietnam,,
all_assault_raft,vessels,Default,Unknown,1970,transparent
all_assault_raft,vessels,Variant1,US,1970,transparent
all_assault_raft,vessels,Variant2,Soviet,1970,transparent
all_assault_raft,vessels,Variant3,UK,1970,transparent
all_life_raft,vessels,Default,Unknown,,transparent
all_life_raft_open,vessels,Default,Unknown,,transparent
all_life_raft_single,vessels,Default,Unknown,,transparent
all_pod_president,vessels,Default,Unknown,,transparent
civ_fv_crabboat,vessels,Default,US,,transparent
civ_fv_crabboat,vessels,Variant1,US,,
civ_fv_crabboat,vessels,Variant2,US,,
civ_fv_crabboat,vessels,Variant3,US,,
civ_fv_crabboat,vessels,Variant4,US,,
civ_fv_crabboat,vessels,Variant5,US,,
civ_fv_dhow,vessels,Default,Iraq,,transparent
civ_fv_dhow,vessels,Variant1,Iraq,,transparent
civ_fv_dhow,vessels,Variant2,Greece,,transparent
civ_fv_dhow,vessels,Variant3,Cyprus,,transparent
civ_fv_dhow,vessels,Variant4,Egypt,,transparent
civ_fv_fishingboat_a,vessels,Default,US,,transparent
civ_fv_fishingboat_a,vessels,Variant1,US,,
civ_fv_fishingboat_a,vessels,Variant2,US,,
civ_fv_fishingboat_a,vessels,Variant3,US,,
civ_fv_fishingboat_a,vessels,Variant4,US,,
civ_fv_fishingboat_a,vessels,Variant5,US,,
civ_fv_fishingboat_b,vessels,Default,Norway,,transparent
civ_fv_fishingboat_b,vessels,Variant1,Iceland,,
civ_fv_fishingboat_b,vessels,Variant2,Norway,,
civ_fv_fishingboat_b,vessels,Variant3,Denmark,,
civ_fv_fishingboat_b,vessels,Variant4,Sweden,,
civ_fv_fishingboat_b,vessels,Variant5,Finland,,
civ_fv_fishingboat_b,vessels,Variant6,Soviet,,
civ_fv_fishingboat_b,vessels,Variant7,Poland,,
civ_fv_fishingboat_b,vessels,Variant8,DDR,,
civ_fv_fishingboat_c,vessels,Default,Japan,,transparent
civ_fv_fishingboat_c,vessels,Variant1,Japan,,
civ_fv_fishingboat_d,vessels,Default,Japan,,transparent
civ_fv_fishingboat_d,vessels,Variant1,Japan,,
civ_fv_okean,vessels,Default,Soviet,1957,transparent
civ_fv_okean,vessels,Variant1,Soviet,,
civ_fv_okean,vessels,Variant2,Cuba,,
civ_fv_okean,vessels,Variant3,DDR,,
civ_fv_okean,vessels,Variant4,UK,,
civ_fv_okean,vessels,Variant5,France,,
civ_fv_okean,vessels,Variant6,Spain,,
civ_fv_okean,vessels,Variant7,Germany,,
civ_fv_okean,vessels,Variant8,Poland,,
civ_fv_sampan,vessels,Default,Vietnam,,transparent
civ_fv_sampan,vessels,Variant1,Vietnam,,transparent
civ_fv_sidetrawler,vessels,Default,Norway,,transparent
civ_fv_sidetrawler,vessels,Variant1,Norway,,
civ_fv_sterntrawler_a,vessels,Default,Norway,,transparent
civ_fv_sterntrawler_a,vessels,Variant1,Soviet,,
civ_fv_sterntrawler_a,vessels,Variant2,DDR,,
civ_fv_sterntrawler_b,vessels,Default,UK,,transparent
civ_fv_sterntrawler_b,vessels,Variant1,UK,,
civ_fv_sterntrawler_b,vessels,Variant2,DDR,,
civ_fv_sterntrawler_b,vessels,Variant3,Canada,,
civ_fv_sterntrawler_c,vessels,Default,France,,transparent
civ_fv_sterntrawler_c,vessels,Variant1,France,,
civ_fv_sterntrawler_c,vessels,Variant2,Soviet,,
civ_fv_sterntrawler_c,vessels,Variant3,Canada,,
civ_fv_sterntrawler_d,vessels,Default,Japan,,transparent
civ_fv_sterntrawler_d,vessels,Variant1,Japan,,
civ_ms_act_1,vessels,Default,Australia,1969,transparent
civ_ms_act_1,vessels,Variant1,Australia,,act_001
civ_ms_act_1,vessels,Variant2,Australia,,act_002
civ_ms_act_1,vessels,Variant3,Australia,,act_003
civ_ms_act_1,vessels,Variant4,Australia,,act_004
civ_ms_act_1,vessels,Variant5,Australia,,act_005
civ_ms_act_1,vessels,Variant6,Australia,,act_006
civ_ms_act_1,vessels,Variant7,Australia,,anl_001
civ_ms_act_1,vessels,Variant8,Australia,,bsl_001
civ_ms_act_1,vessels,Variant9,Australia,,bsl_002
civ_ms_act_1,vessels,Variant10,Australia,,bsl_003
civ_ms_act_1,vessels,Variant11,Australia,,bsl_004
civ_ms_amra,vessels,Default,UK,1969,transparent
civ_ms_amra,vessels,Variant1,UK,,amra_001
civ_ms_amra,vessels,Variant2,UK,,amra_002
civ_ms_amra,vessels,Variant3,UK,,amra_003
civ_ms_amra,vessels,Variant4,UK,,amra_004
civ_ms_amra,vessels,Variant5,UK,,amra_005
civ_ms_amra,vessels,Variant6,UK,,amra_006
civ_ms_amra,vessels,Variant7,UK,,amra_007
civ_ms_amra,vessels,Variant8,UK,,amra_008
civ_ms_amra,vessels,Variant9,UK,,amra_009
civ_ms_amra,vessels,Variant10,UK,,amra_010
civ_ms_amra,vessels,Variant11,UK,,amra_011
civ_ms_amra,vessels,Variant12,UK,,amra_012
civ_ms_amra,vessels,Variant13,South_Korea,,amra_013
civ_ms_amra,vessels,Variant14,South_Korea,,amra_014
civ_ms_amra,vessels,Variant15,Netherlands,,amra_015
civ_ms_amra,vessels,Variant16,Netherlands,,amra_016
civ_ms_amra,vessels,Variant17,Netherlands,,amra_017
civ_ms_amra,vessels,Variant18,Netherlands,,amra_018
civ_ms_amra,vessels,Variant19,Netherlands,,amra_019
civ_ms_andizhan,vessels,Default,Soviet,1958,transparent
civ_ms_andizhan,vessels,Variant1,Soviet,,andi_001
civ_ms_andizhan,vessels,Variant2,Soviet,,andi_002
civ_ms_andizhan,vessels,Variant3,Soviet,,andi_003
civ_ms_andizhan,vessels,Variant4,Soviet,,andi_004
civ_ms_andizhan,vessels,Variant5,Soviet,,andi_005
civ_ms_andizhan,vessels,Variant6,Soviet,,andi_006
civ_ms_andizhan,vessels,Variant7,Soviet,,andi_007
civ_ms_andizhan,vessels,Variant8,Soviet,,andi_008
civ_ms_andizhan,vessels,Variant9,Soviet,,andi_009
civ_ms_andizhan,vessels,Variant10,Soviet,,andi_010
civ_ms_andizhan,vessels,Variant11,Soviet,,andi_011
civ_ms_andizhan,vessels,Variant12,Soviet,,andi_012
civ_ms_andizhan,vessels,Variant13,Soviet,,andi_013
civ_ms_andizhan,vessels,Variant14,Soviet,,andi_014
civ_ms_andizhan,vessels,Variant15,Soviet,,andi_015
civ_ms_andizhan,vessels,Variant16,Soviet,,andi_016
civ_ms_andizhan,vessels,Variant17,Soviet,,andi_017
civ_ms_andizhan,vessels,Variant18,Soviet,,andi_018
civ_ms_andizhan,vessels,Variant19,Soviet,,andi_019
civ_ms_andizhan,vessels,Variant20,Soviet,,andi_020
civ_ms_andizhan,vessels,Variant21,Soviet,,andi_021
civ_ms_andizhan,vessels,Variant22,Soviet,,andi_022
civ_ms_andizhan,vessels,Variant23,Soviet,,andi_023
civ_ms_andizhan,vessels,Variant24,Soviet,,andi_024
civ_ms_andizhan,vessels,Variant25,Soviet,,andi_025
civ_ms_andizhan,vessels,Variant26,Soviet,,andi_026
civ_ms_andizhan,vessels,Variant27,Soviet,,andi_027
civ_ms_andizhan,vessels,Variant28,Soviet,,andi_028
civ_ms_andizhan,vessels,Variant29,Soviet,,andi_029
civ_ms_andizhan,vessels,Variant30,Soviet,,andi_030
civ_ms_andizhan,vessels,Variant31,Soviet,,andi_031
civ_ms_andizhan,vessels,Variant32,Soviet,,andi_032
civ_ms_andizhan,vessels,Variant33,Soviet,,andi_033
civ_ms_andizhan,vessels,Variant34,Soviet,,andi_034
civ_ms_andizhan,vessels,Variant35,Soviet,,andi_035
civ_ms_andizhan,vessels,Variant36,Soviet,,andi_036
civ_ms_andizhan,vessels,Variant37,Soviet,,andi_037
civ_ms_andizhan,vessels,Variant38,Soviet,,andi_038
civ_ms_andizhan,vessels,Variant39,Soviet,,andi_039
civ_ms_andizhan,vessels,Variant40,Soviet,,andi_040
civ_ms_andizhan,vessels,Variant41,Soviet,,andi_041
civ_ms_andizhan,vessels,Variant42,Soviet,,andi_042
civ_ms_andizhan,vessels,Variant43,Vietnam,,andi_043
civ_ms_andizhan,vessels,Variant44,Vietnam,,andi_044
civ_ms_andizhan,vessels,Variant45,Vietnam,,andi_045
civ_ms_andizhan,vessels,Variant46,Vietnam,,andi_046
civ_ms_bulk,vessels,Default,UK,,transparent
civ_ms_bulk,vessels,Variant1,Japan,,bulk_001
civ_ms_bulk,vessels,Variant2,Japan,,bulk_002
civ_ms_bulk,vessels,Variant3,Japan,,bulk_003
civ_ms_bulk,vessels,Variant4,Japan,,bulk_004
civ_ms_bulk,vessels,Variant5,Japan,,bulk_005
civ_ms_bulk,vessels,Variant6,Japan,,bulk_006
civ_ms_bulk,vessels,Variant7,Japan,,bulk_007
civ_ms_bulk,vessels,Variant8,Japan,,bulk_008
civ_ms_bulk,vessels,Variant9,Japan,,bulk_009
civ_ms_bulk,vessels,Variant10,Japan,,bulk_010
civ_ms_bulk,vessels,Variant11,Japan,,bulk_011
civ_ms_bulk,vessels,Variant12,Japan,,bulk_012
civ_ms_bulk,vessels,Variant13,Japan,,bulk_013
civ_ms_bulk,vessels,Variant14,Japan,,bulk_014
civ_ms_bulk,vessels,Variant15,Japan,,bulk_015
civ_ms_bulk,vessels,Variant16,UK,,bulk_016
civ_ms_bulk,vessels,Variant17,UK,,bulk_017
civ_ms_bulk,vessels,Variant18,UK,,bulk_018
civ_ms_bulk,vessels,Variant19,UK,,bulk_019
civ_ms_bulk,vessels,Variant20,UK,,bulk_020
civ_ms_bulk,vessels,Variant21,UK,,bulk_021
civ_ms_bulk,vessels,Variant22,UK,,bulk_022
civ_ms_bulk,vessels,Variant23,UK,,bulk_023
civ_ms_bulk,vessels,Variant24,UK,,bulk_024
civ_ms_bulk,vessels,Variant25,UK,,bulk_025
civ_ms_bulk,vessels,Variant26,UK,,bulk_026
civ_ms_bulk,vessels,Variant27,UK,,bulk_027
civ_ms_bulk,vessels,Variant28,UK,,bulk_028
civ_ms_bulk,vessels,Variant29,UK,,bulk_029
civ_ms_bulk,vessels,Variant30,UK,,bulk_030
civ_ms_bulk,vessels,Variant31,UK,,bulk_031
civ_ms_bulk,vessels,Variant32,UK,,bulk_032
civ_ms_bulk,vessels,Variant33,UK,,bulk_033
civ_ms_bulk,vessels,Variant34,UK,,bulk_034
civ_ms_bulk,vessels,Variant35,UK,,bulk_035
civ_ms_bulk,vessels,Variant36,UK,,bulk_036
civ_ms_bulk,vessels,Variant37,UK,,bulk_037
civ_ms_bulk,vessels,Variant38,Germany,,bulk_038
civ_ms_bulk,vessels,Variant39,Germany,,bulk_039
civ_ms_bulk,vessels,Variant40,Germany,,bulk_040
civ_ms_bulk,vessels,Variant41,Liberia,,bulk_041
civ_ms_bulk,vessels,Variant42,India,,bulk_042
civ_ms_bulk,vessels,Variant43,India,,bulk_043
civ_ms_bulk,vessels,Variant44,India,,bulk_044
civ_ms_bulk,vessels,Variant45,Netherlands,,bulk_045
civ_ms_bulk,vessels,Variant46,Greece,,bulk_046
civ_ms_bulk,vessels,Variant47,Greece,,bulk_047
civ_ms_bulk,vessels,Variant48,Greece,,bulk_048
civ_ms_bulk,vessels,Variant49,Greece,,bulk_049
civ_ms_bulk,vessels,Variant50,Greece,,bulk_050
civ_ms_bulk,vessels,Variant51,Greece,,bulk_051
civ_ms_bulk,vessels,Variant52,Greece,,bulk_052
civ_ms_bulk,vessels,Variant53,Greece,,bulk_053
civ_ms_bulk,vessels,Variant54,Greece,,bulk_054
civ_ms_bulk,vessels,Variant55,Greece,,bulk_055
civ_ms_bulk,vessels,Variant56,Greece,,bulk_056
civ_ms_bulk,vessels,Variant57,Greece,,bulk_057
civ_ms_bulk,vessels,Variant58,Greece,,bulk_058
civ_ms_bulk,vessels,Variant59,Greece,,bulk_059
civ_ms_bulk,vessels,Variant60,Greece,,bulk_060
civ_ms_bulk,vessels,Variant61,Greece,,bulk_061
civ_ms_bulk,vessels,Variant62,Greece,,bulk_062
civ_ms_bulk,vessels,Variant63,Liberia,,bulk_063
civ_ms_bulk,vessels,Variant64,Liberia,,bulk_064
civ_ms_bulk,vessels,Variant65,Liberia,,bulk_065
civ_ms_bulk,vessels,Variant66,Liberia,,bulk_066
civ_ms_bulk,vessels,Variant67,Liberia,,bulk_067
civ_ms_bulk,vessels,Variant68,Liberia,,bulk_068
civ_ms_bulk,vessels,Variant69,Liberia,,bulk_069
civ_ms_bulk,vessels,Variant70,Liberia,,bulk_070
civ_ms_bulk,vessels,Variant71,Liberia,,bulk_071
civ_ms_bulk,vessels,Variant72,Liberia,,bulk_072
civ_ms_bulk,vessels,Variant73,Liberia,,bulk_073
civ_ms_bulk,vessels,Variant74,Liberia,,bulk_074
civ_ms_bulk,vessels,Variant75,Liberia,,bulk_075
civ_ms_bulk,vessels,Variant76,Liberia,,bulk_076
civ_ms_bulk,vessels,Variant77,Liberia,,bulk_077
civ_ms_bulk,vessels,Variant78,Liberia,,bulk_078
civ_ms_bulk,vessels,Variant79,Liberia,,bulk_079
civ_ms_bulk,vessels,Variant80,Liberia,,bulk_080
civ_ms_bulk,vessels,Variant81,Liberia,,bulk_081
civ_ms_bulk,vessels,Variant82,Italy,,bulk_082
civ_ms_bulk,vessels,Variant83,Italy,,bulk_083
civ_ms_bulk,vessels,Variant84,Italy,,bulk_084
civ_ms_bulk,vessels,Variant85,Italy,,bulk_085
civ_ms_bulk,vessels,Variant86,Italy,,bulk_086
civ_ms_bulk,vessels,Variant87,Italy,,bulk_087
civ_ms_bulk,vessels,Variant88,Italy,,bulk_088
civ_ms_bulk,vessels,Variant89,Italy,,bulk_089
civ_ms_bulk,vessels,Variant90,Italy,,bulk_090
civ_ms_bulk,vessels,Variant91,Italy,,bulk_091
civ_ms_bulk,vessels,Variant92,Italy,,bulk_092
civ_ms_c7s68,vessels,Default,US,1968|2019,transparent
civ_ms_c7s68,vessels,Variant1,US,,c7s68_001
civ_ms_c7s68,vessels,Variant2,US,,c7s68_002
civ_ms_c7s68,vessels,Variant3,US,,c7s68_003
civ_ms_c7s68,vessels,Variant4,US,,c7s68_004
civ_ms_c7s68,vessels,Variant5,US,,c7s68_005
civ_ms_c7s68,vessels,Variant6,US,,c7s68_006
civ_ms_c7s68,vessels,Variant7,US,,c7s68_007
civ_ms_c7s68,vessels,Variant8,US,,c7s68_008
civ_ms_c7s68,vessels,Variant9,US,,c7s68_009
civ_ms_c7s68,vessels,Variant10,US,,c7s68_010
civ_ms_c7s68,vessels,Variant11,US,,c7s68_011
civ_ms_c7s68,vessels,Variant12,US,,c7s68_012
civ_ms_c7s68,vessels,Variant13,US,,c7s68_013
civ_ms_c7s68,vessels,Variant14,US,,c7s68_014
civ_ms_c7s68,vessels,Variant15,US,,c7s68_015
civ_ms_c7s68,vessels,Variant16,US,,c7s68_016
civ_ms_c7s68,vessels,Variant17,US,,c7s68_017
civ_ms_c7s68,vessels,Variant18,US,,c7s68_018
civ_ms_c7s68,vessels,Variant19,US,,c7s68_019
civ_ms_c7s68,vessels,Variant20,US,,c7s68_020
civ_ms_c8,vessels,Default,US,1968,transparent
civ_ms_c8,vessels,Variant1,US,,c8_001
civ_ms_c8,vessels,Variant2,US,,c8_002
civ_ms_c8,vessels,Variant3,US,,c8_003
civ_ms_c8,vessels,Variant4,US,,c8_004
civ_ms_c8,vessels,Variant5,US,,c8_005
civ_ms_c8,vessels,Variant6,US,,c8_006
civ_ms_c8,vessels,Variant7,US,,c8_007
civ_ms_c8,vessels,Variant8,US,,c8_008
civ_ms_c8,vessels,Variant9,US,,c8_009
civ_ms_c8,vessels,Variant10,US,,c8_010
civ_ms_c8,vessels,Variant11,US,,c8_011
civ_ms_c8,vessels,Variant12,US,,c8_012
civ_ms_c8,vessels,Variant13,US,,c8_013
civ_ms_c8,vessels,Variant14,US,,c8_014
civ_ms_c8,vessels,Variant15,US,,c8_015
civ_ms_c8,vessels,Variant16,US,,c8_016
civ_ms_c8,vessels,Variant17,US,,c8_017
civ_ms_c8,vessels,Variant18,Norway,,c8_018
civ_ms_c8,vessels,Variant19,Norway,,c8_019
civ_ms_c8,vessels,Variant20,Norway,,c8_020
civ_ms_c8,vessels,Variant21,Netherlands,,c8_021
civ_ms_c8,vessels,Variant22,Germany,,c8_022
civ_ms_c8,vessels,Variant23,US,,c8_023
civ_ms_c8,vessels,Variant24,US,,c8_024
civ_ms_c8,vessels,Variant25,US,,c8_025
civ_ms_c8,vessels,Variant26,US,,c8_026
civ_ms_car_carrier_a,vessels,Default,Norway,1975,transparent
civ_ms_car_carrier_a,vessels,Variant1,Sweden,,car_carrier_a_001
civ_ms_car_carrier_a,vessels,Variant2,Sweden,,car_carrier_a_002
civ_ms_car_carrier_a,vessels,Variant3,Sweden,,car_carrier_a_003
civ_ms_car_carrier_a,vessels,Variant4,Sweden,,car_carrier_a_004
civ_ms_car_carrier_a,vessels,Variant5,Sweden,,car_carrier_a_005
civ_ms_car_carrier_a,vessels,Variant6,Sweden,,car_carrier_a_006
civ_ms_car_carrier_a,vessels,Variant7,Sweden,,car_carrier_a_007
civ_ms_car_carrier_a,vessels,Variant8,Sweden,,car_carrier_a_008
civ_ms_car_carrier_a,vessels,Variant9,Sweden,,car_carrier_a_009
civ_ms_car_carrier_a,vessels,Variant10,Sweden,,car_carrier_a_010
civ_ms_car_carrier_a,vessels,Variant11,Sweden,,car_carrier_a_011
civ_ms_car_carrier_a,vessels,Variant12,Sweden,,car_carrier_a_012
civ_ms_car_carrier_a,vessels,Variant13,Japan,,car_carrier_a_013
civ_ms_car_carrier_a,vessels,Variant14,Japan,,car_carrier_a_014
civ_ms_car_carrier_a,vessels,Variant15,Japan,,car_carrier_a_015
civ_ms_car_carrier_a,vessels,Variant16,Japan,,car_carrier_a_016
civ_ms_car_carrier_a,vessels,Variant17,Japan,,car_carrier_a_017
civ_ms_car_carrier_a,vessels,Variant18,Japan,,car_carrier_a_018
civ_ms_car_carrier_a,vessels,Variant19,Japan,,car_carrier_a_019
civ_ms_car_carrier_a,vessels,Variant20,Japan,,car_carrier_a_020
civ_ms_car_carrier_a,vessels,Variant21,Japan,,car_carrier_a_021
civ_ms_car_carrier_a,vessels,Variant22,Panama,,car_carrier_a_022
civ_ms_car_carrier_a,vessels,Variant23,Panama,,car_carrier_a_023
civ_ms_car_carrier_a,vessels,Variant24,Norway,,car_carrier_a_024
civ_ms_car_carrier_a,vessels,Variant25,Norway,,car_carrier_a_025
civ_ms_car_carrier_a,vessels,Variant26,Norway,,car_carrier_a_026
civ_ms_car_carrier_a,vessels,Variant27,Norway,,car_carrier_a_027
civ_ms_car_carrier_a,vessels,Variant28,Norway,,car_carrier_a_028
civ_ms_car_carrier_a,vessels,Variant29,Norway,,car_carrier_a_029
civ_ms_car_carrier_a,vessels,Variant30,Norway,,car_carrier_a_030
civ_ms_car_carrier_a,vessels,Variant31,Norway,,car_carrier_a_031
civ_ms_car_carrier_a,vessels,Variant32,Norway,,car_carrier_a_032
civ_ms_car_carrier_a,vessels,Variant33,Norway,,car_carrier_a_033
civ_ms_car_carrier_a,vessels,Variant34,Norway,,car_carrier_a_034
civ_ms_car_carrier_a,vessels,Variant35,Liberia,,car_carrier_a_035
civ_ms_car_carrier_a,vessels,Variant36,Liberia,,car_carrier_a_036
civ_ms_car_carrier_a,vessels,Variant37,Liberia,,car_carrier_a_037
civ_ms_car_carrier_a,vessels,Variant38,Liberia,,car_carrier_a_038
civ_ms_car_carrier_a,vessels,Variant39,Liberia,,car_carrier_a_039
civ_ms_car_carrier_a,vessels,Variant40,Japan,,car_carrier_a_040
civ_ms_car_carrier_a,vessels,Variant41,Japan,,car_carrier_a_041
civ_ms_car_carrier_a,vessels,Variant42,Japan,,car_carrier_a_042
civ_ms_car_carrier_a,vessels,Variant43,Liberia,,car_carrier_a_043
civ_ms_car_carrier_a,vessels,Variant44,Liberia,,car_carrier_a_044
civ_ms_car_carrier_a,vessels,Variant45,Norway,,car_carrier_a_045
civ_ms_car_carrier_a,vessels,Variant46,Norway,,car_carrier_a_046
civ_ms_car_carrier_a,vessels,Variant47,Norway,,car_carrier_a_047
civ_ms_car_carrier_a,vessels,Variant48,Greece,,car_carrier_a_048
civ_ms_car_carrier_a,vessels,Variant49,Greece,,car_carrier_a_049
civ_ms_car_carrier_a,vessels,Variant50,Greece,,car_carrier_a_050
civ_ms_car_carrier_a,vessels,Variant51,Greece,,car_carrier_a_051
civ_ms_car_carrier_a,vessels,Variant52,Greece,,car_carrier_a_052
civ_ms_car_carrier_a,vessels,Variant53,Greece,,car_carrier_a_053
civ_ms_car_carrier_a,vessels,Variant54,Greece,,car_carrier_a_054
civ_ms_encounter,vessels,Default,UK,1969,transparent
civ_ms_encounter,vessels,Variant1,UK,,enc_001
civ_ms_encounter,vessels,Variant2,UK,,enc_002
civ_ms_encounter,vessels,Variant3,UK,,enc_003
civ_ms_encounter,vessels,Variant4,UK,,enc_004
civ_ms_encounter,vessels,Variant5,UK,,enc_005
civ_ms_encounter,vessels,Variant6,UK,,enc_006
civ_ms_encounter,vessels,Variant7,UK,,enc_007
civ_ms_freighter_a,vessels,Default,US,1966,transparent
civ_ms_freighter_a,vessels,Variant1,US,,mormac_001
civ_ms_freighter_a,vessels,Variant2,US,,mormac_002
civ_ms_freighter_a,vessels,Variant3,US,,mormac_003
civ_ms_freighter_a,vessels,Variant4,US,,mormac_004
civ_ms_freighter_a,vessels,Variant5,US,,mormac_005
civ_ms_freighter_a,vessels,Variant6,US,,mormac_006
civ_ms_freighter_a,vessels,Variant7,US,,usl_001
civ_ms_freighter_a,vessels,Variant8,US,,usl_002
civ_ms_freighter_a,vessels,Variant9,US,,usl_003
civ_ms_freighter_a,vessels,Variant10,US,,usl_004
civ_ms_freighter_a,vessels,Variant11,US,,usl_005
civ_ms_freighter_a,vessels,Variant12,US,,usl_006
civ_ms_freighter_a,vessels,Variant13,US,,usl_007
civ_ms_freighter_a,vessels,Variant14,US,,usl_008
civ_ms_freighter_a,vessels,Variant15,US,,usl_009
civ_ms_freighter_a,vessels,Variant16,US,,usl_010
civ_ms_freighter_a,vessels,Variant17,US,,usl_011
civ_ms_freighter_a,vessels,Variant18,US,,usl_012
civ_ms_freighter_a,vessels,Variant19,US,,usl_013
civ_ms_freighter_a,vessels,Variant20,US,,usl_014
civ_ms_freighter_a,vessels,Variant21,US,,usl_015
civ_ms_freighter_a,vessels,Variant22,US,,usl_016
civ_ms_freighter_a,vessels,Variant23,US,,grace_001
civ_ms_freighter_a,vessels,Variant24,US,,grace_002
civ_ms_freighter_a,vessels,Variant25,US,,grace_003
civ_ms_freighter_a,vessels,Variant26,US,,grace_004
civ_ms_freighter_a,vessels,Variant27,US,,grace_005
civ_ms_freighter_a,vessels,Variant28,US,,grace_006
civ_ms_freighter_a,vessels,Variant29,US,,lukas_001
civ_ms_freighter_a,vessels,Variant30,US,,lukas_002
civ_ms_freighter_a,vessels,Variant31,US,,lukas_003
civ_ms_freighter_a,vessels,Variant32,US,,lukas_004
civ_ms_freighter_a,vessels,Variant33,US,,lukas_005
civ_ms_freighter_a,vessels,Variant34,US,,usn_ak-5041
civ_ms_freighter_a,vessels,Variant35,US,,usn_ak-5042
civ_ms_freighter_a,vessels,Variant36,US,,usn_ak-5043
civ_ms_freighter_a,vessels,Variant37,US,,usn_ak-5051
civ_ms_freighter_a,vessels,Variant38,US,,usn_ak-5074
civ_ms_freighter_a,vessels,Variant39,US,,usn_ak-5075
civ_ms_freighter_a,vessels,Variant40,US,,usn_ak-5077
civ_ms_freighter_a,vessels,Variant41,US,,usn_ak-2039
civ_ms_freighter_a,vessels,Variant42,US,,usn_ak-5009
civ_ms_freighter_a,vessels,Variant43,US,,usn_ak-5010
civ_ms_freighter_a,vessels,Variant44,US,,usn_ak-5011
civ_ms_freighter_a,vessels,Variant45,US,,usn_ak-5012
civ_ms_freighter_a,vessels,Variant46,US,,usn_ak-5013
civ_ms_freighter_a,vessels,Variant47,US,,usn_ak-5022
civ_ms_freighter_a,vessels,Variant48,US,,usn_ak-5029
civ_ms_freighter_a,vessels,Variant49,US,,usn_ak-5036
civ_ms_freighter_a,vessels,Variant50,US,,usn_ak-5037
civ_ms_freighter_a,vessels,Variant51,US,,usn_ak-5038
civ_ms_freighter_a,vessels,Variant52,US,,usn_ak-5039
civ_ms_freighter_a,vessels,Variant53,US,,usn_ak-5040
civ_ms_freighter_b,vessels,Default,US,1965,transparent
civ_ms_freighter_b,vessels,Variant1,US,,apl_001
civ_ms_freighter_b,vessels,Variant2,US,,apl_002
civ_ms_freighter_b,vessels,Variant3,US,,apl_003
civ_ms_freighter_b,vessels,Variant4,US,,apl_004
